AIRLINE,ORG_AIR,1,2,3,4,5,6,7,8,9,11,12
AA,ATL,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA,DEN,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
AA,DFW,8.0,33.0,13.0,4.0,8.0,7.0,1.0,2.0,1.0,3.0,6.0
AA,IAH,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
AA,LAS,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AA,LAX,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0
AA,MSP,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
AA,ORD,0.0,7.0,1.0,5.0,2.0,4.0,3.0,3.0,0.0,6.0,4.0
AA,PHX,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
AA,SFO,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AS,ATL,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
AS,DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS,DFW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS,IAH,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0
AS,LAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS,LAX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS,MSP,0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0
AS,ORD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS,PHX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS,SFO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
